District_Name,census2011
WEST CHAMPARAN,203
EAST CHAMPARAN,204
SHEOHAR,205
SITAMARHI,206
MADHUBANI,207
SUPAUL,208
ARARIA,209
KISHANGANJ,210
PURNEA,211
KATIHAR,212
MADHEPURA,213
SAHARSA,214
DARBHANGA,215
MUZAFFARPUR,216
GOPALGANJ,217
SIWAN,218
SARAN,219
VAISHALI,220
SAMASTIPUR,221
BEGUSARAI,222
KHAGARIA,223
KHAGARI A,223
BHAGALPUR,224
BANKA,225
MUNGER,226
LAKHISARAI,227
SHEIKHPURA,228
NALANDA,229
PATNA,230
BHOJPUR,231
BUXOR,232
BUXAR,232
KAIMUR (BHABHUA),233
KAIMUR,233
ROHTAS,234
ARWAL,240
AR WAL,240
JAHANABAD,239
AURANGABAD,235
GAYA,236
NAWADA,237
JAMUI,238
PANCHKULA,69
AMBALA,70
YAMUNANAGAR,71
KURUKSHETRA,72
KAITHAL,73
KARNAL,74
PANIPAT,75
SONIPAT,76
JIND,77
FATEHABAD,78
SIRSA,79
HISAR,80
BHIWANI,81
ROHTAK,82
JHAJJAR,83
MAHENDRAGARH,84
REWARI,85
GURGAON,86
MEWAT,87
PALWAL,89
FARIDABAD,88
SAHEBGANJ,352
PAKAUR,353
DUMKA,362
JAMTARA,363
DEOGHAR,350
GODDA,351
KODARMA,348
HAZARIBAGH,360
RAMGARH,361
CHATRA,347
GIRIDIH,349
BOKARO,355
DHANBAD,354
(EAST) SINGHBHUM,357
SARAIKELA KHARSAWAN,369
(WEST) SINGHBHUM,368
RANCHI,364
KHUNTI,365
GUMLA,366
SIMDEGA,367
LOHARDAGA,356
LATEHAR,359
PALAMAU,358
GARHWA,346
BELGAUM,555
BAGALKOT,556
BIJAPUR,557
GULBARGA,579
YADGIR,580
BIDAR,558
RAICHUR,559
KOPPAL,560
GADAG,561
DHARWAD,562
UTTARA KANNADA,563
HAVERI,564
BELLARY,565
CHITRADURGA,566
DAVANAGERE,567
SHIMOGA,568
UDUPI,569
CHICKMAGALUR,570
TUMKUR,571
CHIKBALLAPUR,582
KOLAR,581
BANGALORE,572
BANGALORE RURAL,583
RAMANAGARA,584
MANDYA,573
HASSAN,574
DAKSHINA KANNADA,575
KODAGU,576
MYSORE,577
CHAMARAJANAGAR,578
KASARAGOD,588
KANNUR,589
WAYANAD,590
KOZHIKODE,591
MALAPPURAM,592
PALAKKAD,593
THRISSUR,594
ERNAKULAM,595
IDUKKI,596
KOTTAYAM,597
ALAPPUZHA,598
PATHANAMTHITTA,599
KOLLAM,600
THIRUVANANTHAPURAM,601
BARGARH,370
JHARSUGUDA,371
SUNDARGARH,374
SAMBALPUR,372
DEOGARH,373
KEONJHAR,375
MAYURBHANJ,376
BALASORE,377
BHADRAK,378
JAJPUR,382
DHENKANAL,383
ANGUL,384
SUBARNAPUR,392
BALANGIR,393
NUAPADA,394
NABARANGPUR,397
KALAHANDI,395
KANDHAMAL,390
BOUDH,391
CUTTACK,381
KENDRAPARA,379
JAGATSINGHPUR,380
PURI,387
KHURDA,386
NAYAGARH,385
GANJAM,388
GAJAPATI,389
RAYAGADA,396
KORAPUT,398
MALKANGIRI,399
GANGANAGAR,99
HANUMANGARH,100
BIKANER,101
CHURU,102
JHUNJHUNU,103
SIKAR,111
JAIPUR,110
ALWAR,104
BHARATPUR,105
DHOLPUR,106
KARAULI,107
DAUSA,109
SAWAI MADHOPUR,108
TONK,120
AJMER,119
NAGAUR,112
PALI,118
JODHPUR,113
JAISALMER,114
BARMER,115
JALORE,116
SIROHI,117
UDAIPUR,130
PRATAPGARH,131
DUNGARPUR,124
BANSWARA,125
CHITTORGARH,126
RAJSAMAND,123
BHILWARA,122
BUNDI,121
KOTA,127
BARAN,128
JHALAWAR,129
SAHARANPUR,132
PRABUDDHA NAGAR,133
MUZAFFARNAGAR,133
BIJNOR,134
MORADABAD,135
BHEEM NAGAR,0
RAMPUR,136
JYOTIBA PHULE NAGAR,137
MEERUT,138
BAGHPAT,139
GHAZIABAD,140
PANCHSHEEL NAGAR,140
GAUTAM BUDH NAGAR,141
BULANDSHAHR,142
ALIGARH,143
MAHAMAYA NAGAR,144
MATHURA,145
AGRA,146
FIROZABAD,147
KANSHIRAM NAGAR,202
ETAH,201
MAINPURI,148
BADAUN,149
BAREILLY,150
PILIBHIT,151
SHAHJAHANPUR,152
LAKHIMPUR KHERI,153
KHERI,153
SITAPUR,154
HARDOI,155
UNNAO,156
LUCKNOW,157
RAE BARELI,158
CHHATRAPATHI SHAHUJI MAHARAJ GAR,0
SULTANPUR,179
FARRUKHABAD,159
KANNAUJ,160
ETAWAH,161
AURAIYA,162
RAMABAI NAGAR,163
KANPUR GRAMEEN,163
KANPUR NAGAR,164
JALAUN,165
JHANSI,166
LALITPUR,167
HAMIRPUR,168
MAHOBA,169
BANDA,170
CHITRAKOOT,171
FATEHPUR,172
KAUSHAMBI,174
ALLAHABAD,175
BARABANKI,176
FAIZABAD,177
AMBEDKAR NAGAR,178
BAHRAICH,180
SHRAVASTI,181
BALRAMPUR,182
GONDA,183
SIDDHARTH NAGAR,184
BASTI,185
SANT KABIR NAGAR,186
MAHARAJGANJ,187
GORAKHPUR,188
KUSHINAGAR,189
DEORIA,190
AZAMGARH,191
MAU,192
BALLIA,193
JAUNPUR,194
GHAZIPUR,195
CHANDAULI,196
VARANASI,197
SANT RAVIDAS NAGAR,198
MIRZAPUR,199
SONBHADRA,200
